ts,open,high,low,close,volume
1721415600000,0.03628,0.03668,0.03627,0.03664,7717010.0
1721419200000,0.03665,0.03677,0.03655,0.03659,4136205.0
1721422800000,0.03659,0.03678,0.03654,0.03669,3279435.0
1721426400000,0.03671,0.03679,0.03645,0.03645,4102392.0
1721430000000,0.03644,0.03658,0.03628,0.03635,4273478.0
1721433600000,0.03635,0.03657,0.036,0.0361,8925855.0
1721437200000,0.03609,0.03628,0.03604,0.03606,3667335.0
1721440800000,0.03606,0.03628,0.03605,0.0362,2201783.0
1721444400000,0.03621,0.03657,0.0362,0.03651,4470066.0
1721448000000,0.03652,0.03656,0.03641,0.03655,3287969.0
1721451600000,0.03653,0.03654,0.03624,0.03638,2753292.0
1721455200000,0.03636,0.03648,0.03634,0.03643,2209649.0
1721458800000,0.03642,0.03662,0.03636,0.03647,3138349.0
1721462400000,0.03647,0.03649,0.03619,0.03621,3606743.0
1721466000000,0.03621,0.03643,0.03609,0.03629,4847652.0
1721469600000,0.03629,0.03639,0.0362,0.03625,2144691.0
1721473200000,0.03624,0.03626,0.03607,0.03607,2452372.0
1721476800000,0.03608,0.03626,0.03604,0.03606,2730654.0
1721480400000,0.03606,0.03613,0.03565,0.03599,6961014.0
1721484000000,0.036,0.03642,0.03594,0.03628,4603940.0
1721487600000,0.03628,0.03657,0.03628,0.03651,4133166.0
1721491200000,0.03651,0.03669,0.03632,0.03648,4083237.0
1721494800000,0.03647,0.03688,0.03641,0.03681,8156193.0
1721498400000,0.03681,0.03684,0.03646,0.03658,2648421.0
1721502000000,0.03656,0.03668,0.0364,0.03642,3634671.0
1721505600000,0.0364,0.03663,0.03639,0.0366,1674780.0
1721509200000,0.03662,0.03662,0.03628,0.03647,2491893.0
1721512800000,0.03648,0.03653,0.03626,0.03639,1928604.0
1721516400000,0.03639,0.03647,0.03636,0.03642,931250.0
1721520000000,0.03644,0.03662,0.03617,0.03624,5603027.0
1721523600000,0.03624,0.03646,0.03612,0.03641,4262897.0
1721527200000,0.0364,0.03652,0.03635,0.0364,1486168.0
1721530800000,0.03639,0.03645,0.03627,0.03634,1900586.0
1721534400000,0.03633,0.03646,0.03617,0.03617,3508202.0
1721538000000,0.03617,0.03622,0.03595,0.03617,3963315.0
1721541600000,0.03617,0.03621,0.03586,0.03591,2808853.0
1721545200000,0.03589,0.03602,0.03574,0.03592,2384496.0
1721548800000,0.03592,0.03607,0.03588,0.03599,1257131.0
1721552400000,0.03598,0.03618,0.03595,0.03611,2882530.0
1721556000000,0.0361,0.03612,0.0358,0.03585,2422602.0
1721559600000,0.03584,0.0359,0.03565,0.03578,2508188.0
1721563200000,0.03577,0.03589,0.03568,0.03581,2111917.0
1721566800000,0.0358,0.03599,0.03562,0.0357,6534196.0
1721570400000,0.03572,0.03613,0.03555,0.03611,3341799.0
1721574000000,0.03612,0.03622,0.03585,0.03599,4054792.0
1721577600000,0.036,0.03621,0.03591,0.03618,2675530.0
1721581200000,0.03619,0.0362,0.03542,0.03561,8820805.0
1721584800000,0.03561,0.03592,0.03486,0.03551,18785726.0
1721588400000,0.0355,0.03612,0.03537,0.03608,6237011.0
1721592000000,0.03607,0.03672,0.03595,0.03654,8256758.0
1721595600000,0.03656,0.03673,0.03642,0.03671,3059215.0
1721599200000,0.0367,0.0369,0.03661,0.03663,4218632.0
1721602800000,0.03663,0.03674,0.03659,0.03665,3068471.0
1721606400000,0.03667,0.03686,0.0366,0.0366,7629192.0
1721610000000,0.03659,0.0366,0.03612,0.03613,6977394.0
1721613600000,0.03614,0.03648,0.03601,0.0364,3796999.0
1721617200000,0.03641,0.03646,0.03597,0.03597,3916286.0
1721620800000,0.03598,0.03608,0.03581,0.03595,3194229.0
1721624400000,0.03594,0.03596,0.03544,0.03561,3814171.0
1721628000000,0.0356,0.03563,0.03513,0.03527,5891832.0
1721631600000,0.03527,0.03529,0.03508,0.03524,3541726.0
1721635200000,0.03522,0.03542,0.03514,0.03525,2650001.0
1721638800000,0.03525,0.03551,0.0352,0.03551,2761529.0
1721642400000,0.0355,0.03556,0.03537,0.03545,2950733.0
1721646000000,0.03545,0.03564,0.03533,0.03559,2590547.0
1721649600000,0.0356,0.03579,0.03548,0.03577,3964543.0
1721653200000,0.03577,0.03585,0.03523,0.0353,5499025.0
1721656800000,0.03531,0.03548,0.03508,0.03515,4457813.0
1721660400000,0.03516,0.03552,0.03507,0.03537,2759729.0
1721664000000,0.03538,0.03561,0.03528,0.03544,4248935.0
1721667600000,0.03545,0.03561,0.03533,0.03561,3737146.0
1721671200000,0.03561,0.03576,0.03545,0.03554,1986576.0
1721674800000,0.03554,0.03577,0.03548,0.03577,1474784.0
1721678400000,0.03578,0.03581,0.03558,0.0357,1862397.0
1721682000000,0.0357,0.0357,0.03532,0.03539,3001487.0
1721685600000,0.03539,0.0354,0.03507,0.03516,3760871.0
1721689200000,0.03516,0.03518,0.03489,0.03515,4249459.0
1721692800000,0.03514,0.03545,0.03507,0.03534,2866485.0
1721696400000,0.03536,0.03568,0.03527,0.03545,3418921.0
1721700000000,0.03545,0.03552,0.03521,0.0354,1804043.0
1721703600000,0.0354,0.03542,0.03523,0.03526,1184147.0
1721707200000,0.03525,0.03529,0.03488,0.03495,3732477.0
1721710800000,0.03492,0.03497,0.03424,0.03438,10596068.0
1721714400000,0.03438,0.03463,0.03427,0.03444,3273137.0
1721718000000,0.03446,0.03473,0.03437,0.03465,4575674.0
1721721600000,0.03464,0.03536,0.03461,0.03522,4250825.0
1721725200000,0.03525,0.03533,0.03506,0.03514,3611393.0
1721728800000,0.03515,0.03519,0.03487,0.03487,3016084.0
1721732400000,0.03487,0.03488,0.03455,0.03472,5029706.0
1721736000000,0.03472,0.03475,0.03443,0.03459,3562363.0
1721739600000,0.03458,0.03483,0.03414,0.03437,11572907.0
1721743200000,0.03437,0.03513,0.03426,0.03503,6867750.0
1721746800000,0.03503,0.03507,0.03435,0.03436,6991368.0
1721750400000,0.03436,0.03442,0.03343,0.03349,9986369.0
1721754000000,0.03349,0.03385,0.03335,0.0338,8258117.0
1721757600000,0.03381,0.03391,0.03368,0.0338,3199159.0
1721761200000,0.0338,0.03416,0.03377,0.03401,4346690.0
1721764800000,0.034,0.03421,0.03397,0.03402,4565649.0
1721768400000,0.034,0.03418,0.03389,0.03389,1485210.0
1721772000000,0.03386,0.03395,0.03359,0.03389,4722081.0
1721775600000,0.0339,0.03397,0.03371,0.03386,2521989.0
1721779200000,0.03387,0.03396,0.03352,0.03352,6965585.0
1721782800000,0.03354,0.03393,0.03354,0.0337,2843796.0
1721786400000,0.03372,0.03399,0.03361,0.03398,1594929.0
1721790000000,0.03397,0.03411,0.03393,0.03409,1268246.0
1721793600000,0.03407,0.03409,0.0339,0.03394,1701275.0
1721797200000,0.03392,0.03406,0.03385,0.03404,1711877.0
1721800800000,0.03403,0.03414,0.034,0.03414,1482386.0
1721804400000,0.03412,0.03449,0.03411,0.03448,1429680.0
1721808000000,0.03448,0.03477,0.0344,0.03476,2816418.0
1721811600000,0.03474,0.03485,0.03451,0.03481,2117609.0
1721815200000,0.03483,0.03542,0.03478,0.03534,10126612.0
1721818800000,0.03535,0.03536,0.03495,0.03502,6522580.0
1721822400000,0.03504,0.0352,0.03491,0.03501,2593163.0
1721826000000,0.03501,0.03553,0.035,0.03526,4614591.0
1721829600000,0.03526,0.03567,0.0352,0.03537,4355267.0
1721833200000,0.03535,0.03541,0.0347,0.03485,5493611.0
1721836800000,0.03484,0.03495,0.03462,0.03488,4438399.0
1721840400000,0.03487,0.03507,0.03481,0.03494,2210143.0
1721844000000,0.03493,0.03493,0.03454,0.03458,3264240.0
1721847600000,0.03459,0.03478,0.03447,0.0346,2660328.0
1721851200000,0.03461,0.03483,0.03458,0.0348,1899798.0
1721854800000,0.03479,0.0348,0.03389,0.03409,11188630.0
1721858400000,0.03408,0.0341,0.03375,0.03385,6324483.0
1721862000000,0.03386,0.03387,0.03364,0.03378,3797853.0
1721865600000,0.03376,0.03384,0.03365,0.0337,3724810.0
