ts,open,high,low,close,volume
1721415600000,100.69,101.29,100.65,100.9,19475.2
1721419200000,100.9,101.08,100.43,100.54,9458.4
1721422800000,100.54,100.73,99.91,99.96,8052.1
1721426400000,99.96,100.44,99.9,100.07,8335.0
1721430000000,100.08,100.76,100.0,100.7,8492.1
1721433600000,100.7,100.78,99.32,99.76,13726.8
1721437200000,99.76,100.18,99.22,99.54,8167.1
1721440800000,99.53,100.06,99.43,99.95,3955.3
1721444400000,99.95,100.41,99.82,99.84,4479.7
1721448000000,99.84,100.58,99.81,100.36,3890.4
1721451600000,100.36,100.38,99.8,99.96,4803.3
1721455200000,99.96,100.24,99.77,99.81,3623.6
1721458800000,99.79,100.34,99.57,99.57,12102.5
1721462400000,99.58,99.65,98.84,99.03,17946.0
1721466000000,99.03,99.77,98.68,99.4,8402.7
1721469600000,99.39,99.73,99.2,99.46,5538.2
1721473200000,99.47,99.6,98.88,99.29,9155.1
1721476800000,99.31,100.03,99.3,99.79,7474.8
1721480400000,99.79,100.33,99.12,100.01,11460.0
1721484000000,100.02,100.42,99.8,100.03,8682.7
1721487600000,100.02,100.45,99.94,100.24,7726.6
1721491200000,100.24,100.64,98.99,99.36,15763.5
1721494800000,99.36,100.42,99.13,100.08,16332.1
1721498400000,100.06,100.11,99.42,99.94,15088.8
1721502000000,99.95,100.07,99.32,99.35,6958.0
1721505600000,99.34,99.5,99.12,99.14,5649.3
1721509200000,99.14,99.16,98.44,98.98,9683.2
1721512800000,98.98,99.22,98.43,98.57,9462.2
1721516400000,98.57,98.93,98.54,98.92,5864.3
1721520000000,98.91,99.46,98.5,99.1,15217.4
1721523600000,99.1,99.91,99.04,99.38,7956.2
1721527200000,99.38,99.79,99.25,99.34,4263.4
1721530800000,99.33,99.59,99.24,99.42,5518.5
1721534400000,99.41,99.5,98.58,98.63,4976.0
1721538000000,98.63,99.05,98.29,98.71,6187.2
1721541600000,98.69,98.75,97.89,98.0,7929.3
1721545200000,98.0,98.05,97.29,97.69,10740.7
1721548800000,97.69,98.48,97.59,98.3,5871.3
1721552400000,98.29,98.54,97.93,98.34,12141.7
1721556000000,98.33,98.35,97.56,97.65,5996.3
1721559600000,97.65,97.8,97.38,97.56,8483.3
1721563200000,97.56,97.81,97.1,97.22,12798.8
1721566800000,97.22,97.43,96.13,96.49,26788.8
1721570400000,96.48,97.3,95.75,97.24,17913.9
1721574000000,97.24,97.85,96.85,97.26,13426.7
1721577600000,97.26,98.27,97.05,98.04,14048.9
1721581200000,98.06,98.26,95.93,96.76,15009.2
1721584800000,96.76,97.32,94.14,96.19,59002.7
1721588400000,96.19,97.58,95.87,97.51,11291.7
1721592000000,97.51,98.84,97.17,98.14,16989.4
1721595600000,98.15,98.95,97.8,98.93,11154.7
1721599200000,98.93,99.87,98.91,99.63,19676.1
1721602800000,99.64,100.15,98.13,98.27,37448.9
1721606400000,98.27,99.37,98.21,98.9,14482.1
1721610000000,98.89,99.56,98.05,98.21,22482.6
1721613600000,98.22,98.4,96.73,97.09,37252.0
1721617200000,97.1,97.3,96.45,96.89,17541.7
1721620800000,96.88,97.0,96.47,96.54,7372.4
1721624400000,96.54,96.61,94.75,94.94,26330.1
1721628000000,94.94,95.73,94.51,95.07,24371.9
1721631600000,95.08,95.08,94.14,94.4,25616.0
1721635200000,94.4,95.07,94.0,94.15,21293.1
1721638800000,94.14,95.37,93.86,95.14,16510.5
1721642400000,95.13,95.75,95.09,95.39,13298.2
1721646000000,95.39,95.85,94.99,95.73,9632.5
1721649600000,95.73,96.22,95.36,95.91,11261.3
1721653200000,95.89,96.46,94.35,94.59,27182.9
1721656800000,94.59,95.2,94.06,94.72,21108.3
1721660400000,94.72,95.26,94.33,94.89,11041.4
1721664000000,94.91,95.46,94.75,95.04,9065.8
1721667600000,95.03,95.31,94.73,95.14,5904.7
1721671200000,95.13,95.39,94.7,95.14,6832.5
1721674800000,95.14,95.53,94.94,95.49,6535.7
1721678400000,95.5,95.57,94.83,95.38,6504.4
1721682000000,95.38,95.56,94.15,94.4,12299.7
1721685600000,94.4,94.52,93.53,94.17,15239.3
1721689200000,94.19,94.44,93.42,94.1,12360.4
1721692800000,94.08,94.94,93.97,94.79,11998.7
1721696400000,94.79,96.21,94.69,95.0,21101.0
1721700000000,95.02,95.44,94.57,94.84,12265.7
1721703600000,94.86,95.12,94.5,94.77,7393.0
1721707200000,94.78,95.16,93.21,93.61,19858.2
1721710800000,93.6,93.92,92.79,92.93,26149.1
1721714400000,92.92,93.4,92.59,92.96,18375.6
1721718000000,92.95,93.39,92.64,93.25,9280.6
1721721600000,93.25,96.22,93.09,96.11,38370.1
1721725200000,96.11,96.25,95.15,95.72,28216.9
1721728800000,95.72,96.18,95.37,95.59,13797.6
1721732400000,95.59,95.62,94.58,95.23,13982.2
1721736000000,95.21,95.3,93.99,94.83,16628.7
1721739600000,94.85,95.3,93.56,94.27,36641.6
1721743200000,94.28,96.24,94.08,96.01,20409.7
1721746800000,96.02,96.07,94.76,95.04,19707.5
1721750400000,95.02,95.09,92.0,92.04,47437.8
1721754000000,92.05,93.0,91.52,92.8,37214.2
1721757600000,92.79,93.79,92.61,93.7,16547.2
1721761200000,93.69,95.37,93.59,94.6,24052.7
1721764800000,94.58,95.02,94.35,94.63,12337.3
1721768400000,94.6,94.98,93.78,93.78,9613.1
1721772000000,93.77,94.33,92.75,94.05,18454.9
1721775600000,94.06,94.53,93.84,94.42,8314.6
1721779200000,94.4,94.75,93.53,93.72,11616.0
1721782800000,93.7,94.22,92.95,93.3,9741.4
1721786400000,93.3,93.86,92.89,93.79,7989.4
1721790000000,93.79,93.96,93.49,93.67,5383.2
1721793600000,93.67,93.73,92.93,93.1,5417.5
1721797200000,93.1,93.18,92.34,93.01,7934.2
1721800800000,93.01,93.68,92.9,93.52,5260.7
1721804400000,93.53,93.83,93.28,93.76,6367.7
1721808000000,93.76,93.98,93.39,93.44,10453.9
1721811600000,93.44,93.62,93.23,93.59,6037.7
1721815200000,93.6,93.89,93.51,93.75,7618.6
1721818800000,93.73,93.76,93.31,93.34,3874.1
1721822400000,93.34,93.7,93.13,93.23,7693.5
1721826000000,93.21,94.23,93.14,93.61,10588.5
1721829600000,93.61,94.4,93.53,93.91,13528.3
1721833200000,93.92,94.24,92.71,92.78,20585.0
1721836800000,92.79,93.25,92.25,93.18,11826.8
1721840400000,93.19,93.31,92.64,92.89,8041.5
1721844000000,92.88,93.0,91.29,91.46,18321.8
1721847600000,91.45,92.04,91.14,91.44,13749.3
1721851200000,91.44,91.92,91.32,91.91,7288.8
1721854800000,91.91,91.96,89.2,90.58,39500.7
1721858400000,90.57,90.57,89.78,89.96,12653.9
1721862000000,89.98,90.04,89.36,89.85,12509.0
1721865600000,89.85,90.65,89.66,90.17,19521.0
1721869200000,90.16,90.18,86.33,87.93,85425.8
1721872800000,87.93,88.1,86.43,87.34,27259.3
1721876400000,87.35,87.4,86.69,87.19,10323.1
1721880000000,87.18,88.2,86.83,88.01,19675.3
1721883600000,88.02,88.67,87.88,88.46,17141.1
1721887200000,88.46,88.59,87.83,88.36,14789.3
1721890800000,88.38,88.53,87.96,87.99,8132.2
1721894400000,87.98,88.43,87.8,88.4,9335.6
1721898000000,88.39,88.4,87.64,87.77,9822.7
1721901600000,87.77,87.77,86.02,86.9,40767.0
1721905200000,86.89,87.44,86.77,87.27,10258.0
1721908800000,87.29,87.64,85.61,85.93,66544.3
1721912400000,85.93,92.53,85.81,91.98,502845.3
1721916000000,91.98,95.61,89.97,94.95,191669.4
1721919600000,94.96,96.0,93.93,95.08,102702.4
1721923200000,95.08,95.39,94.27,94.85,66379.6
1721926800000,94.85,96.8,94.6,96.62,69032.0
1721930400000,96.62,97.16,93.68,94.03,147403.8
1721934000000,94.03,94.48,92.82,93.2,98563.2
1721937600000,93.19,93.29,91.2,93.04,148664.4
1721941200000,93.02,94.03,91.4,93.0,104782.9
1721944800000,93.02,93.28,91.76,91.79,30128.7
1721948400000,91.79,93.14,91.69,92.71,42378.2
1721952000000,92.71,94.02,92.58,93.87,37556.5
1721955600000,93.86,95.19,93.25,94.68,83721.1
