ts,open,high,low,close,volume
1721415600000,0.4356,0.4407,0.4355,0.4402,22365528.0
1721419200000,0.4402,0.4405,0.4379,0.4387,11751279.0
1721422800000,0.4387,0.4427,0.4383,0.4388,12027919.0
1721426400000,0.4388,0.44,0.4367,0.4377,8358707.0
1721430000000,0.4377,0.4393,0.4372,0.4388,4162784.0
1721433600000,0.4388,0.4391,0.4343,0.4353,14293497.0
1721437200000,0.4353,0.4368,0.4342,0.435,9231637.0
1721440800000,0.435,0.4363,0.4343,0.4349,7239046.0
1721444400000,0.4348,0.4392,0.4346,0.4385,7366499.0
1721448000000,0.4385,0.4411,0.4378,0.4401,8437578.0
1721451600000,0.44,0.4401,0.4372,0.4387,5458219.0
1721455200000,0.4387,0.441,0.4382,0.4409,7654516.0
1721458800000,0.4409,0.4418,0.4386,0.4389,8465423.0
1721462400000,0.4389,0.4408,0.4367,0.4371,7362933.0
1721466000000,0.4371,0.4387,0.4354,0.4366,9202565.0
1721469600000,0.4367,0.4373,0.435,0.4361,6686548.0
1721473200000,0.4362,0.4362,0.4316,0.432,14927018.0
1721476800000,0.4321,0.4331,0.431,0.4318,9137303.0
1721480400000,0.4319,0.4324,0.4271,0.4296,26975099.0
1721484000000,0.4296,0.433,0.4285,0.4315,12126553.0
1721487600000,0.4315,0.4339,0.4313,0.4338,9505231.0
1721491200000,0.4339,0.4368,0.4317,0.4323,17348472.0
1721494800000,0.4324,0.4398,0.4316,0.4378,26001459.0
1721498400000,0.4378,0.4382,0.4343,0.4356,11160519.0
1721502000000,0.4356,0.4377,0.4345,0.435,9568708.0
1721505600000,0.435,0.4378,0.4348,0.4372,5618683.0
1721509200000,0.4372,0.4373,0.4338,0.4372,10647356.0
1721512800000,0.4372,0.4385,0.435,0.436,6902341.0
1721516400000,0.436,0.4377,0.4356,0.437,5735848.0
1721520000000,0.437,0.4384,0.4344,0.4348,9881453.0
1721523600000,0.4348,0.439,0.4336,0.4372,9798163.0
1721527200000,0.4373,0.4385,0.4363,0.4368,5795632.0
1721530800000,0.4369,0.4385,0.436,0.4362,5077050.0
1721534400000,0.4361,0.4365,0.4336,0.4337,7466435.0
1721538000000,0.4337,0.4342,0.4316,0.4334,10478990.0
1721541600000,0.4334,0.434,0.4298,0.43,10914234.0
1721545200000,0.43,0.4307,0.428,0.4299,10321118.0
1721548800000,0.4299,0.4318,0.4297,0.4307,6610539.0
1721552400000,0.4307,0.4333,0.4301,0.4323,8700148.0
1721556000000,0.4324,0.433,0.4308,0.4309,5900682.0
1721559600000,0.431,0.4317,0.429,0.4303,7511153.0
1721563200000,0.4304,0.4317,0.429,0.4303,6536146.0
1721566800000,0.4304,0.4315,0.4276,0.4284,12168655.0
1721570400000,0.4284,0.4329,0.4254,0.4322,20448416.0
1721574000000,0.4323,0.4334,0.4291,0.43,13825149.0
1721577600000,0.4299,0.4332,0.4286,0.4332,15698567.0
1721581200000,0.4332,0.4344,0.4238,0.4267,30799160.0
1721584800000,0.4266,0.4285,0.4162,0.4217,80092738.0
1721588400000,0.4218,0.4275,0.4203,0.4272,21760055.0
1721592000000,0.4272,0.4363,0.4264,0.4338,28600929.0
1721595600000,0.4339,0.4393,0.4326,0.4389,15059755.0
1721599200000,0.4389,0.4443,0.4389,0.4442,21489545.0
1721602800000,0.4442,0.4485,0.4441,0.4467,24574184.0
1721606400000,0.4466,0.4502,0.4454,0.4457,23814215.0
1721610000000,0.4458,0.4462,0.4402,0.4402,20948522.0
1721613600000,0.4402,0.4428,0.4382,0.4418,13102691.0
1721617200000,0.4418,0.442,0.4381,0.4385,9941898.0
1721620800000,0.4386,0.4404,0.4369,0.4372,10367671.0
1721624400000,0.4371,0.4376,0.4303,0.4324,19619177.0
1721628000000,0.4325,0.4347,0.4287,0.4319,17556724.0
1721631600000,0.4319,0.4354,0.4297,0.4338,15532574.0
1721635200000,0.4339,0.4376,0.4311,0.4321,16935504.0
1721638800000,0.432,0.4363,0.431,0.4359,14595419.0
1721642400000,0.4358,0.4375,0.4347,0.4363,13774213.0
1721646000000,0.4363,0.4387,0.4354,0.4375,11358270.0
1721649600000,0.4374,0.4386,0.435,0.4369,15541153.0
1721653200000,0.437,0.4389,0.4307,0.4315,27789934.0
1721656800000,0.4315,0.4329,0.4281,0.43,28543561.0
1721660400000,0.43,0.4315,0.4286,0.4296,15880910.0
1721664000000,0.4295,0.4313,0.4279,0.4289,11133353.0
1721667600000,0.429,0.4308,0.428,0.4306,7734847.0
1721671200000,0.4307,0.432,0.4282,0.429,10744307.0
1721674800000,0.4291,0.433,0.4282,0.4329,13530517.0
1721678400000,0.4329,0.4333,0.43,0.4313,9451840.0
1721682000000,0.4314,0.4314,0.4255,0.4292,16616372.0
1721685600000,0.4292,0.4293,0.4248,0.4264,18713283.0
1721689200000,0.4265,0.4275,0.4232,0.4258,17935177.0
1721692800000,0.4259,0.4284,0.4243,0.4274,10024380.0
1721696400000,0.4275,0.4294,0.426,0.4278,12466570.0
1721700000000,0.4278,0.4293,0.4258,0.4278,11170578.0
1721703600000,0.4278,0.4282,0.4256,0.4259,5140076.0
1721707200000,0.4259,0.4275,0.4218,0.4225,13710949.0
1721710800000,0.4224,0.4233,0.4176,0.4193,24207395.0
1721714400000,0.4192,0.421,0.4172,0.4198,13461728.0
1721718000000,0.4198,0.4204,0.4177,0.4194,10375463.0
1721721600000,0.4194,0.4256,0.4185,0.4254,21043718.0
1721725200000,0.4254,0.427,0.4232,0.4249,12467589.0
1721728800000,0.4249,0.4272,0.4235,0.425,13816405.0
1721732400000,0.4251,0.426,0.4215,0.4252,15500237.0
1721736000000,0.4251,0.4252,0.4195,0.4212,13560667.0
1721739600000,0.4211,0.4222,0.4145,0.4163,36470265.0
1721743200000,0.4164,0.423,0.4151,0.4213,24219398.0
1721746800000,0.4212,0.4213,0.4148,0.4156,30233823.0
1721750400000,0.4155,0.4156,0.4036,0.4039,49662033.0
1721754000000,0.4039,0.4093,0.4024,0.409,37343290.0
1721757600000,0.4091,0.4108,0.4076,0.4082,12563741.0
1721761200000,0.4082,0.4124,0.4077,0.4092,14794226.0
1721764800000,0.4091,0.4117,0.4086,0.4103,10082158.0
1721768400000,0.4102,0.4118,0.4089,0.409,8084664.0
1721772000000,0.4089,0.411,0.4078,0.4103,12473749.0
1721775600000,0.4104,0.4108,0.4087,0.4097,9922098.0
1721779200000,0.4097,0.4106,0.4056,0.4059,12872736.0
1721782800000,0.4059,0.4105,0.4059,0.4073,15918002.0
1721786400000,0.4073,0.4094,0.406,0.4091,10573088.0
1721790000000,0.4092,0.4109,0.408,0.4105,7672209.0
1721793600000,0.4105,0.4107,0.4079,0.4091,6829473.0
1721797200000,0.4091,0.4094,0.4065,0.4078,6822447.0
1721800800000,0.4079,0.412,0.407,0.4109,11081125.0
1721804400000,0.4109,0.4198,0.4095,0.4191,36889293.0
1721808000000,0.4191,0.4213,0.4156,0.4175,26442652.0
1721811600000,0.4176,0.4186,0.416,0.4185,8794536.0
1721815200000,0.4186,0.419,0.4157,0.4184,11913535.0
1721818800000,0.4185,0.4193,0.4172,0.4189,9695287.0
1721822400000,0.419,0.4199,0.4164,0.4166,11374189.0
1721826000000,0.4166,0.4204,0.4159,0.4161,11778048.0
1721829600000,0.4161,0.4197,0.4155,0.4175,12892446.0
1721833200000,0.4175,0.4183,0.4117,0.412,20370727.0
1721836800000,0.412,0.4141,0.4091,0.4133,17352723.0
1721840400000,0.4133,0.4154,0.4128,0.4138,7692756.0
1721844000000,0.4138,0.4141,0.4076,0.4081,11916095.0
1721847600000,0.4081,0.4138,0.407,0.4108,24632822.0
1721851200000,0.4109,0.4143,0.4105,0.4143,7362048.0
1721854800000,0.4143,0.4146,0.405,0.4133,28763040.0
1721858400000,0.4134,0.4138,0.4051,0.4057,33266281.0
1721862000000,0.4058,0.4075,0.4035,0.406,15963676.0
1721865600000,0.4059,0.4083,0.4051,0.4061,13119952.0
1721869200000,0.4061,0.4061,0.3902,0.3966,110643602.0
1721872800000,0.3966,0.3966,0.3911,0.3951,26955253.0
1721876400000,0.3951,0.3953,0.3924,0.3941,13342746.0
1721880000000,0.3941,0.3983,0.392,0.3966,16238529.0
1721883600000,0.3967,0.3978,0.3941,0.3947,11656645.0
1721887200000,0.3947,0.3976,0.3935,0.3963,10419276.0
1721890800000,0.3964,0.3972,0.3949,0.3962,10020153.0
1721894400000,0.3962,0.3971,0.3947,0.3963,13979973.0
1721898000000,0.3962,0.3978,0.3953,0.3974,12131555.0
1721901600000,0.3975,0.3975,0.3927,0.3948,13627913.0
1721905200000,0.3948,0.3958,0.3942,0.3948,8181643.0
1721908800000,0.3949,0.3968,0.3916,0.3926,19359583.0
1721912400000,0.3926,0.3938,0.389,0.3917,22132876.0
1721916000000,0.3918,0.3956,0.3869,0.395,30021808.0
1721919600000,0.395,0.3963,0.3916,0.3928,16995739.0
1721923200000,0.3929,0.3962,0.3903,0.3944,13701017.0
1721926800000,0.3945,0.396,0.3932,0.3942,8543421.0
1721930400000,0.3943,0.3943,0.3844,0.3866,20673568.0
1721934000000,0.3866,0.3895,0.3831,0.387,22294961.0
1721937600000,0.387,0.3894,0.3812,0.3893,29345882.0
1721941200000,0.3894,0.3933,0.3891,0.3926,17220964.0
1721944800000,0.3927,0.3945,0.3914,0.392,11499264.0
1721948400000,0.392,0.3948,0.3918,0.3946,10658545.0
1721952000000,0.3946,0.3978,0.3941,0.3973,13630540.0
1721955600000,0.3973,0.4001,0.3967,0.3987,18122333.0
1721959200000,0.3987,0.4064,0.3985,0.4055,19361768.0
1721962800000,0.4056,0.4089,0.4049,0.4062,18996762.0
1721966400000,0.4061,0.4082,0.4056,0.4077,9413271.0
1721970000000,0.4078,0.4093,0.4071,0.4083,7095923.0
1721973600000,0.4084,0.4175,0.408,0.416,26277113.0
1721977200000,0.4159,0.4168,0.412,0.4125,17830516.0
1721980800000,0.4124,0.414,0.4121,0.4125,9044662.0
1721984400000,0.4126,0.4153,0.4117,0.4135,10076790.0
1721988000000,0.4134,0.4146,0.4109,0.4121,9637355.0
1721991600000,0.4121,0.4129,0.411,0.4119,8557111.0
1721995200000,0.4119,0.4137,0.4107,0.4117,9488908.0
1721998800000,0.4117,0.4159,0.4092,0.4148,15608759.0
1722002400000,0.4148,0.4156,0.4099,0.413,19281848.0
1722006000000,0.413,0.4155,0.4128,0.4146,10236190.0
1722009600000,0.4146,0.4155,0.4137,0.4144,7283760.0
1722013200000,0.4144,0.4152,0.4135,0.4146,6439332.0
1722016800000,0.4145,0.4158,0.4144,0.4157,5678445.0
1722020400000,0.4157,0.4196,0.4156,0.4179,14207474.0
1722024000000,0.4179,0.4182,0.4145,0.4154,8242560.0
1722027600000,0.4154,0.4174,0.415,0.4162,4892967.0
1722031200000,0.4161,0.4184,0.4158,0.4177,5342791.0
1722034800000,0.4176,0.4186,0.417,0.417,4845157.0
1722038400000,0.4171,0.4172,0.415,0.416,7655225.0
1722042000000,0.4161,0.4161,0.4134,0.4138,7178671.0
1722045600000,0.4138,0.4164,0.413,0.4161,6082635.0
1722049200000,0.4161,0.4166,0.4144,0.4151,5800048.0
1722052800000,0.4151,0.4156,0.4145,0.415,2809991.0
1722056400000,0.415,0.4174,0.4147,0.4149,4803846.0
1722060000000,0.415,0.4172,0.4147,0.4171,4962620.0
1722063600000,0.417,0.4184,0.416,0.4164,6125460.0
1722067200000,0.4165,0.4178,0.416,0.417,6316273.0
1722070800000,0.417,0.4183,0.4162,0.4174,5087762.0
1722074400000,0.4175,0.4176,0.4163,0.4169,4175404.0
1722078000000,0.4169,0.4183,0.4154,0.4182,5608400.0
1722081600000,0.4181,0.421,0.4179,0.4197,12358684.0
1722085200000,0.4197,0.4266,0.4196,0.4244,22716914.0
1722088800000,0.4245,0.4258,0.4225,0.4241,14760776.0
1722092400000,0.4242,0.4246,0.4199,0.4226,18630680.0
1722096000000,0.4226,0.4291,0.4222,0.4268,21124527.0
1722099600000,0.4268,0.4268,0.4224,0.423,18538081.0
1722103200000,0.4231,0.4262,0.4204,0.4215,17221367.0
1722106800000,0.4215,0.4232,0.4181,0.4227,23885539.0
1722110400000,0.4228,0.4229,0.4124,0.4174,65629192.0
1722114000000,0.4174,0.4245,0.4161,0.4221,31797256.0
1722117600000,0.4221,0.4225,0.4183,0.4202,29516961.0
1722121200000,0.4203,0.4205,0.4169,0.4173,10984776.0
1722124800000,0.4173,0.4192,0.4132,0.4174,18782323.0
1722128400000,0.4175,0.4205,0.4172,0.4189,8938713.0
1722132000000,0.419,0.4194,0.4169,0.4179,4628745.0
1722135600000,0.4179,0.418,0.4145,0.4145,6404085.0
1722139200000,0.4145,0.4153,0.4105,0.4111,11375799.0
1722142800000,0.4111,0.4132,0.4085,0.412,18119709.0
1722146400000,0.412,0.4126,0.4111,0.4116,4285851.0
1722150000000,0.4116,0.4121,0.4096,0.4114,7353316.0
1722153600000,0.4115,0.4117,0.4088,0.4102,10079703.0
1722157200000,0.4103,0.4117,0.4101,0.4106,13935211.0
1722160800000,0.4107,0.4124,0.4102,0.4111,10864357.0
1722164400000,0.4112,0.413,0.4109,0.4109,9906872.0
1722168000000,0.4109,0.4125,0.4098,0.4113,7853073.0
1722171600000,0.4113,0.4119,0.4103,0.411,5802012.0
1722175200000,0.4111,0.4112,0.4064,0.4069,17180364.0
1722178800000,0.407,0.4085,0.4064,0.4074,8534651.0
1722182400000,0.4074,0.409,0.4072,0.4082,6732782.0
1722186000000,0.4082,0.4096,0.4072,0.4095,6167268.0
1722189600000,0.4095,0.4115,0.4088,0.4102,9333368.0
