ts,open,high,low,close,volume
1747929600000,0.24,0.2974,0.2318,0.29437,72030071.0
1747933200000,0.29437,0.296,0.25759,0.27188,91241256.0
1747936800000,0.27177,0.2746,0.25455,0.26409,31121188.0
1747940400000,0.26428,0.26444,0.247,0.25161,19340270.0
1747944000000,0.2516,0.26229,0.24472,0.25389,12640179.0
1747947600000,0.25387,0.25737,0.2504,0.25313,6638783.0
1747951200000,0.25313,0.25396,0.24516,0.2477,5432548.0
1747954800000,0.24771,0.24787,0.2335,0.24092,7816711.0
1747958400000,0.2409,0.25934,0.2284,0.25503,29644742.0
1747962000000,0.25506,0.27562,0.25451,0.27346,20330135.0
1747965600000,0.27346,0.28583,0.2631,0.26928,25152183.0
1747969200000,0.2694,0.279,0.26305,0.27288,18116467.0
1747972800000,0.27288,0.30878,0.27228,0.29963,38835273.0
1747976400000,0.29963,0.30711,0.28572,0.29389,45229276.0
1747980000000,0.29389,0.297,0.26298,0.26657,55313795.0
1747983600000,0.26666,0.2769,0.25562,0.25955,38012903.0
1747987200000,0.2596,0.265,0.24624,0.24908,43505659.0
1747990800000,0.24909,0.25049,0.228,0.23263,49042158.0
1747994400000,0.23261,0.23297,0.20791,0.21034,74672873.0
1747998000000,0.21028,0.21759,0.12616,0.18172,447262178.0
1748001600000,0.18172,0.233,0.18118,0.2208,176242746.0
1748005200000,0.22081,0.235,0.21315,0.22699,73780102.0
1748008800000,0.227,0.25341,0.22306,0.24277,78403651.0
1748012400000,0.2428,0.28743,0.23509,0.27894,101820316.0
1748016000000,0.27878,0.3,0.26419,0.26748,174704268.0
1748019600000,0.2675,0.2701,0.25472,0.26041,61894424.0
1748023200000,0.26052,0.26745,0.258,0.26104,28206021.0
1748026800000,0.26103,0.2905,0.25958,0.27178,51305114.0
1748030400000,0.27178,0.27668,0.25683,0.26163,32486204.0
1748034000000,0.26157,0.2794,0.26148,0.26529,26648488.0
1748037600000,0.26529,0.27356,0.25857,0.26992,25596095.0
1748041200000,0.26998,0.29,0.26218,0.2769,69738118.0
1748044800000,0.27691,0.295,0.26739,0.2885,66021678.0
1748048400000,0.2885,0.29955,0.275,0.2885,72411463.0
1748052000000,0.28853,0.2984,0.27656,0.28435,53918681.0
1748055600000,0.28447,0.29166,0.27203,0.27726,46525931.0
1748059200000,0.27741,0.279,0.2619,0.27043,32939097.0
1748062800000,0.2704,0.27345,0.26083,0.26588,23974832.0
1748066400000,0.2659,0.279,0.26263,0.27082,27617754.0
1748070000000,0.27088,0.27167,0.26378,0.2692,21047765.0
1748073600000,0.2692,0.26973,0.26,0.26321,27252299.0
1748077200000,0.26319,0.27272,0.258,0.27064,43772705.0
1748080800000,0.27063,0.32829,0.26855,0.32556,147122452.0
1748084400000,0.32568,0.342,0.312,0.3167,229715540.0
1748088000000,0.31672,0.33141,0.305,0.31671,146949915.0
1748091600000,0.31665,0.3219,0.30683,0.31753,95358238.0
1748095200000,0.31754,0.32259,0.31023,0.31896,72737768.0
1748098800000,0.31896,0.3249,0.31277,0.31909,66430913.0
1748102400000,0.3191,0.33978,0.31582,0.32492,100891335.0
1748106000000,0.32511,0.34111,0.321,0.33124,125590950.0
1748109600000,0.33124,0.33453,0.32355,0.32859,88036365.0
1748113200000,0.32865,0.3375,0.31838,0.33149,91893941.0
1748116800000,0.33154,0.3393,0.323,0.32515,55359085.0
1748120400000,0.32515,0.3309,0.32046,0.32196,35570845.0
1748124000000,0.32196,0.3233,0.3104,0.31348,45750335.0
1748127600000,0.31344,0.3178,0.30261,0.31143,45249677.0
1748131200000,0.31143,0.32336,0.3092,0.31402,39475259.0
1748134800000,0.31401,0.3223,0.307,0.31282,35044275.0
1748138400000,0.31282,0.33555,0.30909,0.32614,40815899.0
1748142000000,0.32614,0.35217,0.32309,0.33402,68257240.0
1748145600000,0.3339,0.35,0.33115,0.34548,58952491.0
1748149200000,0.34548,0.3484,0.33401,0.3364,50336589.0
1748152800000,0.33641,0.349,0.33508,0.33893,48043452.0
1748156400000,0.33892,0.34124,0.315,0.31754,89278323.0
1748160000000,0.31742,0.32085,0.3074,0.31241,63376539.0
1748163600000,0.31231,0.31901,0.28703,0.29027,103432272.0
1748167200000,0.29036,0.29111,0.27019,0.27675,133666116.0
1748170800000,0.27678,0.28023,0.25755,0.26379,93514993.0
1748174400000,0.26378,0.284,0.25928,0.27413,104640208.0
1748178000000,0.2741,0.29667,0.2728,0.28705,88590590.0
1748181600000,0.28704,0.3088,0.28526,0.30106,108816402.0
1748185200000,0.30106,0.325,0.30039,0.3175,124338511.0
1748188800000,0.3175,0.32435,0.31183,0.316,80461393.0
1748192400000,0.316,0.322,0.31201,0.31687,41475996.0
1748196000000,0.31684,0.31999,0.306,0.31313,38717058.0
1748199600000,0.31313,0.32431,0.31283,0.31768,26212440.0
1748203200000,0.31778,0.32082,0.31408,0.31532,19136128.0
1748206800000,0.31529,0.33284,0.31128,0.32729,38532252.0
1748210400000,0.32738,0.47729,0.32681,0.40569,169810841.0
1748214000000,0.40596,0.41272,0.3846,0.39369,105789596.0
1748217600000,0.39371,0.417,0.37289,0.41268,85695828.0
1748221200000,0.41275,0.42774,0.404,0.41576,58925800.0
1748224800000,0.41564,0.421,0.40146,0.41617,45109590.0
1748228400000,0.41616,0.46489,0.416,0.43438,128243693.0
1748232000000,0.43427,0.44771,0.405,0.41212,95552659.0
1748235600000,0.41227,0.42871,0.406,0.41951,58869169.0
1748239200000,0.41944,0.4434,0.41392,0.42952,59682967.0
1748242800000,0.4294,0.43757,0.42599,0.43189,48478783.0
1748246400000,0.43187,0.434,0.4066,0.42462,85885418.0
1748250000000,0.42462,0.45669,0.42351,0.43605,95145975.0
1748253600000,0.43601,0.449,0.42042,0.42611,78639677.0
1748257200000,0.42622,0.44444,0.36527,0.39151,296639802.0
1748260800000,0.39155,0.41525,0.38855,0.40377,163693278.0
1748264400000,0.40384,0.4125,0.396,0.40411,83095493.0
1748268000000,0.40411,0.4075,0.39,0.40293,94830213.0
1748271600000,0.40291,0.435,0.38802,0.40754,122417657.0
1748275200000,0.40754,0.41342,0.39523,0.40413,61750060.0
1748278800000,0.40414,0.4062,0.39655,0.40281,33591671.0
1748282400000,0.40281,0.42499,0.40117,0.40887,43647461.0
1748286000000,0.40887,0.41367,0.4048,0.4098,19891386.0
