ts,open,high,low,close,volume
1721415600000,388.6,399.63,388.49,399.2,27960.495
1721419200000,399.14,399.48,393.44,394.12,17808.893
1721422800000,394.04,396.25,392.9,393.1,6579.442
1721426400000,393.1,393.57,389.32,390.08,14601.262
1721430000000,389.97,391.58,389.34,391.22,6568.698
1721433600000,391.22,391.97,385.56,386.85,13331.942
1721437200000,386.84,388.32,385.14,386.45,7195.07
1721440800000,386.45,388.36,385.83,387.38,6026.53
1721444400000,387.38,390.6,387.23,389.33,7399.007
1721448000000,389.33,391.59,388.8,390.57,6115.915
1721451600000,390.57,391.3,388.95,391.15,5990.355
1721455200000,391.14,392.78,390.59,392.44,6126.672
1721458800000,392.4,393.25,391.68,391.86,4475.584
1721462400000,391.83,392.44,390.56,391.14,7146.389
1721466000000,391.14,393.08,389.69,391.35,6725.604
1721469600000,391.33,392.5,390.15,390.61,5031.985
1721473200000,390.62,390.79,387.04,387.4,9342.043
1721476800000,387.4,391.0,387.19,389.42,12509.172
1721480400000,389.41,390.87,386.75,390.8,11670.035
1721484000000,390.81,393.82,390.34,393.3,10018.463
1721487600000,393.29,397.75,393.29,395.99,14204.115
1721491200000,395.99,397.47,392.83,394.11,12790.023
1721494800000,394.12,398.65,393.64,396.55,18576.269
1721498400000,396.55,397.73,394.74,397.63,7626.448
1721502000000,397.6,398.45,394.81,395.46,7964.797
1721505600000,395.46,397.94,395.46,396.62,6099.583
1721509200000,396.64,396.75,393.53,395.12,9286.943
1721512800000,395.12,396.81,393.74,394.68,6822.297
1721516400000,394.67,395.46,393.86,395.1,3666.211
1721520000000,395.15,395.94,393.35,393.67,9510.525
1721523600000,393.66,396.6,392.46,395.39,7947.144
1721527200000,395.39,396.83,394.01,395.1,5995.5
1721530800000,395.1,396.55,394.64,395.87,4761.734
1721534400000,395.87,396.55,393.77,393.93,4930.222
1721538000000,393.94,394.46,391.99,394.0,7119.28
1721541600000,394.01,394.6,391.27,391.53,9074.531
1721545200000,391.53,392.7,389.26,391.42,10138.533
1721548800000,391.42,393.98,391.17,392.87,5110.367
1721552400000,392.88,395.95,392.68,395.68,5301.609
1721556000000,395.68,396.22,393.53,393.63,5108.033
1721559600000,393.65,394.37,392.1,392.1,4145.614
1721563200000,392.1,393.25,391.32,392.48,6068.79
1721566800000,392.47,392.7,387.32,388.72,16135.212
1721570400000,388.72,394.16,386.16,393.7,15121.699
1721574000000,393.71,395.87,391.81,392.98,10352.993
1721577600000,392.98,394.81,390.9,394.72,9200.446
1721581200000,394.73,395.6,385.1,387.44,17914.663
1721584800000,387.45,389.33,377.23,384.69,66155.834
1721588400000,384.75,389.69,382.91,389.47,16331.598
1721592000000,389.45,397.8,388.73,395.12,27490.833
1721595600000,395.13,398.88,393.75,398.47,13935.802
1721599200000,398.47,400.79,398.03,399.09,10969.716
1721602800000,399.09,401.3,398.73,400.98,8377.764
1721606400000,400.99,404.22,400.95,401.92,16194.37
1721610000000,401.97,402.26,398.51,398.57,11900.095
1721613600000,398.58,401.97,397.59,401.91,7844.428
1721617200000,401.92,402.74,399.64,400.0,6435.64
1721620800000,400.0,401.68,398.99,399.5,7325.761
1721624400000,399.49,399.58,392.64,393.6,15723.132
1721628000000,393.6,394.69,387.44,390.11,25199.069
1721631600000,390.11,390.44,386.7,388.21,16531.713
1721635200000,388.2,390.13,385.01,386.63,16747.412
1721638800000,386.64,388.71,385.29,388.48,11435.853
1721642400000,388.49,389.87,387.48,388.93,8085.477
1721646000000,388.93,390.71,388.66,390.29,6914.642
1721649600000,390.29,392.6,389.5,392.27,9291.767
1721653200000,392.27,393.36,385.92,386.6,22550.733
1721656800000,386.6,390.43,385.35,387.36,21631.988
1721660400000,387.32,391.18,386.34,389.27,8401.32
1721664000000,389.31,394.38,389.0,391.55,12413.064
1721667600000,391.53,396.98,390.65,395.16,10480.774
1721671200000,395.16,396.91,393.58,394.15,8257.668
1721674800000,394.16,396.37,393.32,395.94,7793.814
1721678400000,395.94,396.36,394.21,394.52,7736.428
1721682000000,394.53,394.61,389.76,391.64,8600.365
1721685600000,391.64,391.82,386.78,388.24,13452.017
1721689200000,388.25,388.25,382.45,385.48,16749.722
1721692800000,385.53,389.83,384.9,388.3,9876.837
1721696400000,388.35,392.57,387.26,390.31,12872.519
1721700000000,390.32,390.89,386.61,388.48,10020.911
1721703600000,388.47,389.15,379.7,381.12,26508.793
1721707200000,381.12,382.28,376.92,377.15,47796.708
1721710800000,377.14,377.82,371.11,374.1,36059.615
1721714400000,374.1,377.52,373.42,376.79,22899.71
1721718000000,376.78,377.23,374.04,375.99,13818.533
1721721600000,375.99,383.3,375.44,382.55,23281.894
1721725200000,382.55,385.04,381.0,383.85,14795.94
1721728800000,383.87,384.32,381.44,381.64,9229.814
1721732400000,381.63,382.52,378.72,381.3,10582.763
1721736000000,381.29,381.72,377.68,379.52,12176.058
1721739600000,379.52,381.7,375.27,376.67,23618.45
1721743200000,376.75,384.0,375.8,383.12,20882.303
1721746800000,383.09,383.3,376.5,377.86,19056.13
1721750400000,377.85,378.61,367.32,367.64,48010.829
1721754000000,367.66,368.6,360.22,364.06,74609.635
1721757600000,364.05,367.11,363.44,365.38,15692.183
1721761200000,365.37,367.59,364.77,366.49,12995.922
1721764800000,366.48,368.22,364.37,365.67,12130.003
1721768400000,365.67,367.44,364.31,364.36,10292.572
1721772000000,364.35,367.15,363.53,366.55,10352.847
1721775600000,366.56,367.84,364.83,366.11,9599.272
1721779200000,366.08,369.18,363.86,364.59,17656.887
1721782800000,364.62,368.04,364.08,365.21,13251.554
1721786400000,365.23,366.8,363.36,366.57,11022.426
1721790000000,366.56,369.19,365.17,368.96,9869.679
1721793600000,368.95,371.06,367.37,367.43,20940.732
1721797200000,367.44,367.87,364.71,367.68,9522.666
1721800800000,367.68,370.66,367.27,370.07,8763.196
1721804400000,370.07,370.91,369.39,370.42,9515.685
1721808000000,370.41,374.38,369.51,373.89,17614.874
1721811600000,373.9,374.35,372.8,372.9,5724.691
1721815200000,372.93,373.68,371.72,373.1,7413.115
1721818800000,373.1,373.28,370.73,370.94,4928.38
1721822400000,370.95,371.8,368.37,368.89,9164.309
1721826000000,368.95,373.69,368.77,370.86,11607.657
1721829600000,370.86,374.61,370.34,373.05,11803.262
1721833200000,373.05,373.84,365.0,365.82,27354.708
1721836800000,365.82,369.9,364.01,368.65,17159.088
1721840400000,368.66,369.69,367.82,368.13,7341.401
1721844000000,368.12,368.77,363.37,364.29,11560.012
1721847600000,364.28,366.34,363.12,364.49,13581.333
1721851200000,364.51,366.63,364.14,365.4,8757.832
1721854800000,365.41,365.69,358.0,363.4,25798.432
1721858400000,363.4,363.47,360.71,361.1,7863.565
1721862000000,361.11,362.47,359.22,362.11,7857.32
1721865600000,362.13,365.0,361.53,362.97,9913.248
1721869200000,362.95,363.18,348.86,356.64,65062.367
1721872800000,356.6,356.6,349.16,352.61,17736.323
1721876400000,352.61,352.69,349.9,350.93,12150.601
1721880000000,350.93,353.73,348.9,353.31,13260.062
1721883600000,353.3,354.38,351.52,351.87,9646.228
1721887200000,351.86,354.02,350.89,352.99,11944.523
1721890800000,352.99,353.78,351.71,351.79,7213.391
1721894400000,351.76,354.45,351.27,353.89,12268.567
1721898000000,353.93,354.44,352.08,352.8,11542.657
1721901600000,352.8,352.87,350.06,351.41,9988.037
1721905200000,351.46,353.16,351.01,352.0,7229.774
1721908800000,351.99,353.59,348.73,350.18,16817.403
1721912400000,350.22,352.19,347.68,350.74,16000.395
1721916000000,350.73,356.24,347.01,355.48,29885.769
1721919600000,355.47,356.89,353.1,355.0,12261.832
