ts,open,high,low,close,volume
1775034000000,99.88,100.56,98.91,99.95,133423.68
1775037600000,99.96,100.49,99.4,99.85,66063.88
1775041200000,99.87,100.04,98.27,98.74,77120.3
1775044800000,98.74,100.75,98.02,100.49,166330.89
1775048400000,100.49,100.87,98.33,98.88,161409.46
1775052000000,98.88,99.4,98.12,98.91,113100.38
1775055600000,98.91,100.06,98.84,99.55,77936.1
1775059200000,99.53,100.64,99.46,99.9,66802.02
1775062800000,99.9,99.9,98.42,99.16,102766.52
1775066400000,99.15,100.33,99.07,99.69,139457.62
1775070000000,99.7,99.8,98.79,99.43,99290.23
1775073600000,99.44,99.84,98.69,98.81,70652.22
1775077200000,98.82,99.31,98.66,99.11,29927.27
1775080800000,99.11,99.12,98.55,98.95,33141.65
1775084400000,98.95,99.03,98.53,98.76,40197.56
1775088000000,98.76,98.83,97.4,97.88,170411.21
1775091600000,97.87,104.36,97.7,103.95,676154.55
1775095200000,103.95,104.45,103.38,103.62,144078.85
1775098800000,103.63,104.75,103.59,104.65,93396.23
1775102400000,104.65,105.63,104.54,104.86,131982.64
1775106000000,104.86,105.99,104.28,105.97,106227.16
1775109600000,105.97,106.58,105.68,105.92,155069.09
1775113200000,105.91,106.49,105.69,106.13,128689.18
1775116800000,106.12,107.2,105.92,107.02,185633.51
1775120400000,107.02,107.92,106.81,107.5,152202.57
1775124000000,107.49,108.39,107.35,108.15,188823.19
1775127600000,108.14,109.79,108.1,109.67,291313.14
1775131200000,109.67,113.17,109.26,112.99,699920.21
1775134800000,112.99,113.69,110.4,110.72,825632.26
1775138400000,110.73,111.53,106.37,108.53,1111398.48
1775142000000,108.54,111.88,107.97,111.29,633748.45
1775145600000,111.29,111.88,110.02,110.48,458162.26
1775149200000,110.49,111.53,109.47,111.2,307896.61
1775152800000,111.2,111.9,110.46,110.71,141748.02
1775156400000,110.72,111.42,110.41,111.22,96767.78
1775160000000,111.23,111.75,111.03,111.74,134600.13
1775163600000,111.73,112.16,111.71,111.93,78115.12
1775167200000,111.93,112.02,111.85,111.94,52737.58
1775170800000,111.94,111.96,111.87,111.93,39052.52
1775174400000,111.93,111.94,111.73,111.93,45080.84
1775178000000,111.94,111.96,111.8,111.94,42837.15
1775181600000,111.94,111.99,111.88,111.96,55772.77
1775185200000,111.96,112.02,111.92,111.96,45033.3
1775188800000,111.96,111.97,111.82,111.91,30523.86
1775192400000,111.91,111.95,111.82,111.9,28723.83
1775196000000,111.9,111.96,111.88,111.94,28767.65
1775199600000,111.94,111.97,111.86,111.94,26909.95
1775203200000,111.94,111.95,111.8,111.91,29505.73
1775206800000,111.91,111.94,111.83,111.9,32160.85
1775210400000,111.91,111.95,111.85,111.9,44100.23
1775214000000,111.89,111.92,111.84,111.89,34610.58
1775217600000,111.88,111.98,111.86,111.9,36862.26
1775221200000,111.9,112.0,111.9,111.97,38789.37
1775224800000,111.96,112.16,111.92,112.05,73315.46
1775228400000,112.05,112.11,111.95,112.0,58993.57
1775232000000,111.99,112.14,111.95,112.05,43663.67
1775235600000,112.04,112.16,112.03,112.15,59511.01
1775239200000,112.15,112.18,111.95,111.95,42141.76
1775242800000,111.95,112.0,111.95,111.99,14925.58
1775246400000,111.99,112.18,111.95,112.04,33154.27
1775250000000,112.04,112.13,111.76,111.79,33211.77
1775253600000,111.78,111.96,111.76,111.94,30738.26
1775257200000,111.94,111.98,111.85,111.94,19045.55
1775260800000,111.94,111.97,111.89,111.92,21384.95
1775264400000,111.92,111.95,111.9,111.9,13011.83
1775268000000,111.91,111.94,111.91,111.92,14020.44
1775271600000,111.93,111.98,111.92,111.97,9785.71
1775275200000,111.97,111.98,111.9,111.91,9689.78
1775278800000,111.91,111.94,111.9,111.93,11059.85
1775282400000,111.94,111.96,111.9,111.96,10317.29
1775286000000,111.96,111.97,111.93,111.96,10007.62
1775289600000,111.96,111.97,111.93,111.96,10624.39
1775293200000,111.96,111.98,111.95,111.98,9897.41
1775296800000,111.98,111.99,111.95,111.99,10683.19
1775300400000,111.99,112.0,111.97,111.99,10654.26
1775304000000,111.99,112.0,111.95,111.96,7501.42
1775307600000,111.96,111.98,111.91,111.98,11648.72
1775311200000,111.98,112.06,111.98,112.03,30787.81
1775314800000,112.02,112.04,111.96,112.0,19623.09
1775318400000,112.0,112.15,112.0,112.13,30517.95
1775322000000,112.13,112.24,112.07,112.17,24862.5
1775325600000,112.16,112.19,112.09,112.16,7575.0
1775329200000,112.15,112.16,112.0,112.02,15670.75
1775332800000,112.02,112.2,112.02,112.13,8412.01
1775336400000,112.13,112.22,112.11,112.18,8618.97
1775340000000,112.17,112.22,112.13,112.17,19820.13
1775343600000,112.16,112.22,112.12,112.13,19721.25
1775347200000,112.12,112.24,112.05,112.1,26938.51
1775350800000,112.1,112.26,112.08,112.17,12532.81
1775354400000,112.17,112.27,112.16,112.24,17558.78
1775358000000,112.23,112.27,112.12,112.2,17048.59
1775361600000,112.2,112.38,112.19,112.31,35813.14
1775365200000,112.31,112.35,112.31,112.32,18416.46
1775368800000,112.31,112.38,112.27,112.37,27673.75
1775372400000,112.36,112.37,112.11,112.18,39252.0
1775376000000,112.18,112.5,112.18,112.4,24061.53
1775379600000,112.4,112.48,112.16,112.25,19015.84
1775383200000,112.24,112.33,112.16,112.28,18407.07
1775386800000,112.28,112.47,112.21,112.47,24658.74
1775390400000,112.47,113.19,112.46,113.05,101548.14
1775394000000,113.04,113.34,112.41,112.73,90239.41
1775397600000,112.74,112.75,112.22,112.36,46456.66
1775401200000,112.37,112.57,111.06,111.8,114109.21
1775404800000,111.8,112.61,111.79,112.2,49199.58
1775408400000,112.21,112.92,112.21,112.49,44815.57
1775412000000,112.48,112.8,112.23,112.48,24106.84
1775415600000,112.47,112.59,111.82,112.39,42543.39
1775419200000,112.39,112.73,112.38,112.52,18112.76
1775422800000,112.51,112.83,112.31,112.71,43444.74
1775426400000,112.71,118.0,112.27,113.12,618489.29
1775430000000,113.11,113.85,112.35,113.77,266472.86
