ts,open,high,low,close,volume
1721415600000,0.12416,0.12599,0.12409,0.12519,199593525.0
1721419200000,0.12519,0.12538,0.12445,0.1248,109293585.0
1721422800000,0.1248,0.1258,0.12478,0.12502,72170896.0
1721426400000,0.12501,0.12571,0.12492,0.12527,63809122.0
1721430000000,0.12526,0.126,0.12516,0.12541,73908196.0
1721433600000,0.12541,0.12626,0.12436,0.12475,170803987.0
1721437200000,0.12474,0.12564,0.12435,0.12446,81982911.0
1721440800000,0.12446,0.12505,0.12423,0.12477,54917997.0
1721444400000,0.12477,0.12562,0.12472,0.12535,54632699.0
1721448000000,0.12535,0.1261,0.12508,0.1261,79049354.0
1721451600000,0.1261,0.12671,0.12535,0.12659,92615405.0
1721455200000,0.12659,0.12842,0.12648,0.1282,259045752.0
1721458800000,0.1282,0.12963,0.12734,0.12741,354470416.0
1721462400000,0.1274,0.12742,0.12622,0.12671,151593694.0
1721466000000,0.12672,0.1278,0.12581,0.12683,130342606.0
1721469600000,0.12682,0.12721,0.12633,0.12657,73693718.0
1721473200000,0.12657,0.12671,0.12568,0.1259,92871468.0
1721476800000,0.12591,0.12678,0.12583,0.12637,67578874.0
1721480400000,0.12638,0.12788,0.12519,0.12762,238945510.0
1721484000000,0.12763,0.12977,0.12734,0.12911,240027137.0
1721487600000,0.12912,0.135,0.12911,0.13477,987764571.0
1721491200000,0.13477,0.13562,0.13255,0.13312,619110682.0
1721494800000,0.13312,0.13521,0.1327,0.13497,294992041.0
1721498400000,0.13497,0.13578,0.13286,0.13484,332177550.0
1721502000000,0.13484,0.13531,0.13345,0.13364,128113344.0
1721505600000,0.13364,0.13533,0.13364,0.13434,130305611.0
1721509200000,0.13434,0.13445,0.13285,0.13417,123299134.0
1721512800000,0.13418,0.1347,0.13335,0.13411,100453915.0
1721516400000,0.13411,0.13458,0.13393,0.1342,71541156.0
1721520000000,0.13421,0.13458,0.13249,0.1326,144740772.0
1721523600000,0.1326,0.13366,0.13183,0.13341,139248884.0
1721527200000,0.13341,0.13378,0.13251,0.13255,86047795.0
1721530800000,0.13256,0.13335,0.13209,0.13215,67663337.0
1721534400000,0.13215,0.13258,0.13094,0.13118,131467147.0
1721538000000,0.13119,0.13149,0.13025,0.13114,189265780.0
1721541600000,0.13114,0.13133,0.13007,0.13019,138192509.0
1721545200000,0.13019,0.13126,0.1296,0.13086,169766280.0
1721548800000,0.13086,0.13153,0.13068,0.13078,117070849.0
1721552400000,0.13078,0.13215,0.13064,0.13165,129792031.0
1721556000000,0.13165,0.13187,0.13112,0.13131,80234087.0
1721559600000,0.13131,0.13177,0.13086,0.13154,97440964.0
1721563200000,0.13153,0.13207,0.1313,0.13196,95985445.0
1721566800000,0.13196,0.13243,0.13064,0.13128,134883161.0
1721570400000,0.13129,0.13278,0.13028,0.1322,164130875.0
1721574000000,0.1322,0.13272,0.13111,0.13146,146649814.0
1721577600000,0.13145,0.13192,0.12983,0.13182,240611751.0
1721581200000,0.13182,0.13216,0.12851,0.1287,266335782.0
1721584800000,0.1287,0.13013,0.12564,0.1285,681101700.0
1721588400000,0.12851,0.13424,0.12778,0.13393,609805885.0
1721592000000,0.13393,0.14372,0.1328,0.14091,1536147588.0
