ts,open,high,low,close,volume
1721415600000,3501.12,3539.38,3501.12,3520.9,172103.858
1721419200000,3520.9,3522.2,3489.0,3502.63,106666.415
1721422800000,3502.64,3525.66,3502.42,3510.05,54413.355
1721426400000,3510.06,3518.31,3503.37,3507.12,37389.413
1721430000000,3507.12,3514.58,3497.1,3502.18,38142.404
1721433600000,3502.18,3507.0,3478.47,3483.29,68550.893
1721437200000,3483.29,3495.53,3478.01,3483.16,33611.766
1721440800000,3483.16,3494.4,3479.01,3491.85,31156.455
1721444400000,3491.86,3501.88,3491.41,3493.78,32524.138
1721448000000,3493.77,3506.94,3490.06,3506.28,37838.197
1721451600000,3506.28,3506.55,3494.4,3500.32,25714.335
1721455200000,3500.33,3503.68,3498.97,3500.01,13649.251
1721458800000,3500.01,3502.23,3485.7,3485.99,41342.399
1721462400000,3485.99,3492.99,3479.0,3484.47,46896.856
1721466000000,3484.46,3493.4,3480.0,3482.17,39724.315
1721469600000,3482.16,3489.28,3478.84,3486.84,34055.577
1721473200000,3486.84,3490.49,3479.12,3483.39,25478.549
1721476800000,3483.39,3495.3,3482.55,3490.44,30145.893
1721480400000,3490.44,3496.86,3479.03,3489.05,49904.39
1721484000000,3489.04,3507.07,3487.22,3495.7,51178.762
1721487600000,3495.69,3506.28,3492.75,3501.82,35985.593
1721491200000,3501.83,3512.52,3489.01,3496.87,58980.072
1721494800000,3496.86,3538.38,3490.73,3525.55,158297.23
1721498400000,3525.56,3536.83,3515.39,3529.3,56174.049
1721502000000,3529.3,3535.7,3507.07,3513.21,59141.765
1721505600000,3513.21,3525.26,3513.17,3520.79,23460.758
1721509200000,3520.79,3521.8,3497.35,3513.69,48387.464
1721512800000,3513.7,3521.76,3506.32,3512.6,29426.84
1721516400000,3512.59,3520.45,3511.87,3516.03,16533.445
1721520000000,3516.03,3527.9,3502.13,3506.42,41132.647
1721523600000,3506.42,3522.0,3505.4,3514.46,23755.471
1721527200000,3514.47,3521.73,3512.46,3512.47,14790.386
1721530800000,3512.46,3519.37,3508.46,3508.86,16801.26
1721534400000,3508.86,3512.03,3502.0,3503.2,23028.028
1721538000000,3503.2,3504.74,3492.07,3499.66,36926.279
1721541600000,3499.66,3502.38,3481.61,3485.26,79780.738
1721545200000,3485.25,3488.55,3472.54,3482.87,61554.652
1721548800000,3482.87,3491.2,3481.72,3486.53,28602.924
1721552400000,3486.53,3502.92,3485.0,3499.4,52019.901
1721556000000,3499.39,3506.89,3492.8,3492.8,29805.009
1721559600000,3492.81,3497.5,3488.88,3497.37,18133.774
1721563200000,3497.37,3502.8,3493.55,3498.89,23701.761
1721566800000,3498.88,3501.3,3481.0,3489.76,45422.035
1721570400000,3489.75,3515.75,3482.19,3509.15,81984.982
1721574000000,3509.16,3515.66,3494.0,3498.64,64074.027
1721577600000,3498.63,3519.84,3485.0,3516.0,91945.272
1721581200000,3516.0,3524.0,3445.0,3467.18,193707.188
1721584800000,3467.18,3483.97,3408.13,3462.2,353322.503
1721588400000,3462.21,3495.98,3456.84,3489.0,111407.063
1721592000000,3489.01,3522.72,3480.92,3497.07,123110.673
1721595600000,3497.07,3519.0,3488.78,3519.0,70210.335
1721599200000,3519.0,3547.84,3517.01,3532.42,116834.667
1721602800000,3532.42,3544.32,3519.5,3534.29,56058.359
1721606400000,3534.3,3562.33,3527.61,3541.9,101196.387
1721610000000,3541.9,3544.45,3520.81,3526.01,83184.671
1721613600000,3526.0,3539.18,3517.39,3533.29,45707.562
1721617200000,3533.29,3534.96,3513.57,3515.48,40226.639
1721620800000,3515.48,3522.54,3510.9,3514.57,46412.725
1721624400000,3514.58,3515.69,3482.0,3494.04,87206.935
1721628000000,3493.9,3500.0,3457.26,3474.94,121626.283
1721631600000,3474.93,3483.14,3463.07,3477.02,70654.219
1721635200000,3477.01,3486.46,3468.07,3473.91,54078.301
1721638800000,3473.92,3491.41,3467.05,3491.38,64045.198
1721642400000,3491.38,3497.69,3486.03,3490.73,39485.204
1721646000000,3490.73,3502.61,3484.39,3498.6,32598.894
1721649600000,3498.61,3505.88,3490.09,3497.44,45366.397
1721653200000,3497.43,3504.87,3461.0,3465.35,152193.272
1721656800000,3465.34,3476.57,3441.92,3447.6,186234.714
1721660400000,3447.6,3465.55,3433.33,3455.7,97205.719
1721664000000,3455.7,3471.0,3442.65,3452.11,66921.287
1721667600000,3452.11,3470.5,3448.36,3468.94,40002.6
1721671200000,3468.94,3478.83,3462.42,3471.64,56075.862
1721674800000,3471.64,3497.65,3467.0,3497.36,75788.704
1721678400000,3497.37,3498.37,3475.73,3488.37,80081.012
1721682000000,3488.37,3488.96,3445.0,3460.43,97894.812
1721685600000,3460.43,3461.13,3433.06,3446.94,144236.347
1721689200000,3446.94,3449.11,3421.0,3438.08,117616.642
1721692800000,3438.09,3479.67,3434.0,3467.88,109184.711
