ts,open,high,low,close,volume
1740056400000,1.494,1.6976,1.0335,1.1101,204927811.5
1740060000000,1.1102,1.1192,0.8728,0.9173,265497564.7
1740063600000,0.9174,0.9665,0.89,0.924,167411621.5
1740067200000,0.9235,1.0198,0.89,0.9743,171143682.8
1740070800000,0.9743,1.2638,0.9389,1.2158,207088822.3
1740074400000,1.2157,1.3195,1.1678,1.2412,257330165.0
1740078000000,1.2413,1.325,1.1935,1.2303,122445682.3
1740081600000,1.2302,1.273,1.19,1.2487,58938106.8
1740085200000,1.2491,2.1084,1.2366,1.6865,293450492.2
1740088800000,1.686,1.9122,1.6742,1.7363,107872625.3
1740092400000,1.7368,1.8334,1.585,1.6417,75549524.0
1740096000000,1.6415,1.6438,1.3202,1.3477,147003135.9
1740099600000,1.347,1.52,1.311,1.4302,92996745.8
1740103200000,1.4304,1.4724,1.26,1.3159,72651067.4
1740106800000,1.3164,1.383,1.2761,1.349,52636625.8
1740110400000,1.3488,1.4442,1.333,1.4066,49133243.4
1740114000000,1.4066,1.6,1.3732,1.5906,70642073.1
1740117600000,1.5904,1.726,1.5242,1.5983,122267906.7
1740121200000,1.5984,1.6499,1.507,1.576,64521986.3
1740124800000,1.5761,1.638,1.5216,1.6247,55631378.9
1740128400000,1.6247,1.7935,1.5953,1.7331,110196594.8
1740132000000,1.733,1.967,1.7066,1.8899,116225751.8
1740135600000,1.8898,1.986,1.7502,1.8218,133794916.7
1740139200000,1.8218,1.8607,1.6808,1.769,94246306.1
1740142800000,1.7694,1.8369,1.7116,1.8073,63193401.0
1740146400000,1.8074,1.9235,1.7736,1.8421,117207523.1
1740150000000,1.842,2.131,1.67,1.8069,268692200.9
1740153600000,1.8063,1.9698,1.783,1.8808,166892465.5
1740157200000,1.8808,1.8888,1.6814,1.7371,121247349.2
1740160800000,1.7371,1.8196,1.6662,1.7307,80480431.6
1740164400000,1.731,1.7711,1.6123,1.6605,105901185.8
1740168000000,1.6603,1.74,1.6143,1.6862,69861050.5
1740171600000,1.6859,1.7223,1.5865,1.6503,60026282.4
1740175200000,1.6505,1.6681,1.539,1.5659,45085188.3
1740178800000,1.566,1.5859,1.4143,1.4256,66038995.5
1740182400000,1.4255,1.6951,1.356,1.6688,131875557.0
1740186000000,1.6691,1.8128,1.6248,1.75,100718364.5
1740189600000,1.7502,1.7645,1.66,1.7019,55074233.4
1740193200000,1.702,1.768,1.6283,1.701,58928410.3
1740196800000,1.7012,1.725,1.656,1.6816,41156576.4
1740200400000,1.6816,1.7685,1.6806,1.7497,38374252.3
1740204000000,1.7499,1.79,1.6598,1.6875,46981385.9
1740207600000,1.6876,1.7288,1.65,1.7103,34741451.7
1740211200000,1.7103,1.7456,1.6613,1.6888,37011932.5
1740214800000,1.6888,1.708,1.603,1.6212,50115298.5
1740218400000,1.6212,1.6442,1.5631,1.5814,51676074.5
1740222000000,1.5809,1.63,1.522,1.6102,53225291.7
1740225600000,1.6099,1.6963,1.58,1.664,55885329.8
1740229200000,1.664,1.683,1.5892,1.6168,46356832.0
1740232800000,1.6167,1.6665,1.5924,1.6057,34557373.6
1740236400000,1.6058,1.62,1.5583,1.5789,39606100.5
1740240000000,1.5788,1.653,1.5424,1.5994,54856941.0
1740243600000,1.5997,1.69,1.5538,1.6266,53176874.4
1740247200000,1.6266,1.6778,1.6119,1.6368,29169870.0
1740250800000,1.6367,1.7099,1.6329,1.652,43647317.2
1740254400000,1.6521,1.653,1.5919,1.6088,24108361.2
1740258000000,1.609,1.6235,1.5779,1.6141,15147953.9
1740261600000,1.6139,1.6277,1.5069,1.5377,28777086.8
1740265200000,1.5377,1.5807,1.5133,1.5416,21082709.6
1740268800000,1.5415,1.587,1.5267,1.5754,22948919.0
1740272400000,1.5754,1.5799,1.4819,1.5077,23982718.1
1740276000000,1.5078,1.538,1.5054,1.5118,15227152.2
1740279600000,1.5118,1.5451,1.46,1.5049,23384303.4
1740283200000,1.5051,1.5257,1.4803,1.5073,14754431.3
1740286800000,1.5074,1.525,1.4944,1.5104,13028958.0
1740290400000,1.5103,1.5491,1.4965,1.5311,16785227.8
1740294000000,1.531,1.5793,1.5211,1.5433,20374532.9
1740297600000,1.5432,1.5557,1.5225,1.5466,14300050.7
1740301200000,1.5466,1.5758,1.5337,1.5416,20347686.8
1740304800000,1.5415,1.5533,1.505,1.5324,19474537.8
1740308400000,1.5323,1.5588,1.5112,1.5334,17709099.5
1740312000000,1.5335,1.5339,1.483,1.5002,26763139.4
1740315600000,1.5002,1.5319,1.4933,1.5217,15332896.0
1740319200000,1.5217,1.5424,1.508,1.5214,18921376.2
1740322800000,1.5214,1.5546,1.4563,1.4715,35995689.1
1740326400000,1.4714,1.4874,1.4211,1.4534,40116424.7
1740330000000,1.4533,1.4858,1.435,1.485,18515298.4
1740333600000,1.4846,1.6142,1.4776,1.5379,62559770.1
1740337200000,1.538,1.559,1.5252,1.5479,23233529.8
1740340800000,1.5479,1.5511,1.513,1.527,18533806.9
1740344400000,1.527,1.5442,1.4805,1.4928,18763949.5
1740348000000,1.4928,1.51,1.4703,1.5052,16631797.3
1740351600000,1.5051,1.625,1.5051,1.5694,45979653.4
1740355200000,1.5694,1.5872,1.5362,1.5431,23313799.1
1740358800000,1.5431,1.5581,1.5161,1.5314,17264189.7
1740362400000,1.5315,1.616,1.5261,1.5898,35934193.2
1740366000000,1.5899,1.738,1.5472,1.6899,58883571.2
1740369600000,1.6898,1.747,1.6214,1.6804,64673507.2
1740373200000,1.6807,1.7169,1.6035,1.6494,49635321.8
1740376800000,1.6493,1.6882,1.6338,1.6376,28168947.6
1740380400000,1.6376,1.6759,1.6133,1.6648,27796708.2
1740384000000,1.6648,1.695,1.6443,1.6719,40822184.1
1740387600000,1.6719,1.7493,1.6667,1.687,60467253.0
1740391200000,1.6871,1.7699,1.6482,1.7418,69536652.3
1740394800000,1.7416,1.8613,1.708,1.8373,95217788.9
1740398400000,1.8368,1.9885,1.78,1.837,185166495.4
1740402000000,1.8371,1.8692,1.8,1.8414,82356245.5
1740405600000,1.8414,1.9,1.8169,1.8293,86819354.6
