ts,open,high,low,close,volume
1783695600000,172.0,172.6,168.0,171.68,46789.54
1783699200000,171.68,177.48,171.29,173.36,255413.87
1783702800000,173.36,173.63,170.23,170.88,145731.67
1783706400000,170.88,171.92,167.03,169.5,154311.33
1783710000000,169.47,170.8,167.88,168.36,82849.57
1783713600000,168.35,169.56,167.92,169.32,17843.04
1783717200000,169.31,170.23,169.21,170.0,9045.32
1783720800000,170.0,171.02,169.52,170.83,13773.2
1783724400000,170.83,173.08,170.82,171.49,26536.24
1783728000000,171.5,172.67,170.65,171.47,24963.43
1783731600000,171.45,172.58,170.63,171.11,19924.22
1783735200000,171.11,172.36,170.94,171.8,19144.19
1783738800000,171.79,172.04,170.8,171.03,24376.48
1783742400000,171.03,171.06,170.43,170.86,10125.23
1783746000000,170.86,170.88,170.62,170.67,5180.3
1783749600000,170.68,170.87,170.37,170.51,5801.8
1783753200000,170.51,170.75,170.46,170.55,6037.38
1783756800000,170.56,170.88,170.11,170.73,9376.09
1783760400000,170.7,170.88,170.31,170.82,3877.01
1783764000000,170.82,170.88,170.77,170.81,1988.17
1783767600000,170.81,170.88,170.45,170.49,3483.41
1783771200000,170.5,170.88,170.1,170.27,11328.06
1783774800000,170.26,170.36,169.41,169.83,9388.06
1783778400000,169.85,170.11,169.59,169.95,6720.89
1783782000000,169.94,170.16,169.63,169.79,6141.34
1783785600000,169.79,169.94,169.6,169.74,3509.61
1783789200000,169.74,170.15,169.71,169.97,2356.11
1783792800000,169.98,170.87,169.5,170.83,7976.94
1783796400000,170.83,171.11,170.6,171.0,7137.12
1783800000000,170.97,171.5,169.64,171.37,6428.44
1783803600000,171.37,171.5,170.78,171.43,2690.8
1783807200000,171.46,171.72,170.93,171.08,7100.76
1783810800000,171.06,171.43,170.18,170.66,5253.34
1783814400000,170.65,172.0,170.57,171.59,10214.27
1783818000000,171.58,171.69,170.86,171.44,6716.41
1783821600000,171.44,171.61,171.2,171.35,3696.14
1783825200000,171.35,171.88,170.58,171.12,9239.54
1783828800000,171.13,171.88,170.82,171.75,4624.06
1783832400000,171.74,171.9,171.21,171.47,5953.37
1783836000000,171.47,171.94,171.16,171.9,8307.4
1783839600000,171.9,171.94,171.4,171.64,4827.0
1783843200000,171.65,171.73,171.35,171.65,3363.16
1783846800000,171.65,171.68,170.62,171.07,8383.56
1783850400000,171.07,171.29,170.84,171.04,2575.01
1783854000000,171.03,171.4,170.92,171.14,1938.52
1783857600000,171.13,171.35,170.99,171.15,3373.81
1783861200000,171.12,171.33,170.91,171.16,3360.09
1783864800000,171.15,171.21,170.89,170.93,3207.87
