ts,open,high,low,close,volume
1775566800000,726.9,727.44,707.58,707.98,943.74
1775570400000,707.64,719.19,695.44,705.83,978.65
1775574000000,706.36,714.29,699.34,712.76,536.03
1775577600000,712.76,722.84,711.37,716.38,335.03
1775581200000,716.49,718.6,704.0,704.4,186.43
1775584800000,704.41,706.8,691.2,694.75,291.13
1775588400000,694.75,711.06,689.59,710.5,250.72
1775592000000,710.64,713.77,708.56,711.9,44.76
1775595600000,711.49,719.5,711.49,717.59,181.03
1775599200000,717.64,745.88,716.89,745.15,240.01
1775602800000,745.13,756.37,742.82,752.16,257.71
1775606400000,752.28,764.01,750.24,760.44,162.19
1775610000000,760.9,763.7,756.58,761.57,174.19
1775613600000,761.63,762.24,757.13,757.8,62.75
1775617200000,757.8,762.83,757.8,761.13,54.19
1775620800000,761.06,767.0,760.79,766.6,168.9
1775624400000,766.6,776.57,766.59,772.59,381.16
1775628000000,772.27,777.1,770.65,771.6,127.13
1775631600000,771.72,771.94,763.56,769.57,153.98
1775635200000,769.75,783.25,767.56,780.91,293.55
1775638800000,781.3,782.91,775.72,777.0,185.1
1775642400000,777.14,777.84,769.53,769.53,220.38
1775646000000,769.81,779.34,769.2,776.5,236.19
1775649600000,776.9,780.0,774.12,776.52,142.08
1775653200000,776.52,805.52,774.36,788.04,1939.75
1775656800000,788.16,792.15,758.48,764.05,1415.5
1775660400000,764.01,782.16,763.64,780.08,698.33
1775664000000,780.36,793.27,780.36,788.96,683.93
1775667600000,789.6,793.23,785.1,788.89,365.61
1775671200000,788.97,791.84,778.44,778.44,369.19
1775674800000,778.32,781.55,775.92,780.5,253.7
1775678400000,780.13,783.29,777.71,778.93,104.96
1775682000000,779.2,779.77,774.56,775.08,82.37
1775685600000,775.08,777.63,771.93,771.93,49.28
1775689200000,771.84,774.3,770.48,773.59,57.34
1775692800000,773.79,773.89,765.12,765.68,116.67
1775696400000,765.43,773.45,758.34,772.49,225.85
1775700000000,773.01,780.05,770.76,775.58,148.37
1775703600000,775.56,777.96,770.08,770.41,98.7
1775707200000,770.44,773.48,768.92,771.35,99.7
1775710800000,771.24,778.03,767.55,774.83,161.31
1775714400000,774.95,776.17,771.6,774.59,57.52
1775718000000,775.0,777.91,770.83,773.25,113.42
1775721600000,773.23,774.27,768.0,771.6,240.33
1775725200000,771.55,787.59,771.48,787.2,244.2
1775728800000,787.05,797.96,786.77,786.77,417.04
1775732400000,786.72,799.33,785.71,797.72,276.12
1775736000000,797.91,815.0,797.89,813.95,1184.3
1775739600000,813.95,826.27,805.35,822.84,2076.24
1775743200000,822.48,830.89,809.41,830.14,1853.51
1775746800000,830.24,833.13,821.26,832.85,1468.03
1775750400000,833.13,839.84,830.38,835.07,958.33
1775754000000,835.19,842.0,832.98,837.68,461.68
1775757600000,837.52,842.0,831.84,840.51,359.6
1775761200000,840.12,853.62,840.04,850.08,718.5
1775764800000,849.84,857.91,847.92,856.09,850.72
1775768400000,856.39,862.52,854.04,857.32,484.4
1775772000000,857.6,860.8,853.89,854.95,371.53
1775775600000,854.99,860.28,853.9,859.74,202.88
1775779200000,859.61,873.6,855.93,872.83,586.57
