ts,open,high,low,close,volume
1778853600000,162.95,175.75,160.33,165.69,13247.61
1778857200000,165.52,172.24,164.73,168.3,7913.95
1778860800000,168.38,170.58,167.0,168.39,4419.2
1778864400000,168.27,173.1,168.1,173.03,2537.68
1778868000000,173.02,174.5,169.27,171.47,3344.29
1778871600000,171.63,171.73,164.1,164.59,2765.37
1778875200000,164.62,164.88,162.79,163.73,1406.66
1778878800000,163.84,164.27,162.83,163.73,665.53
1778882400000,163.67,164.21,162.09,162.55,773.35
1778886000000,162.58,163.11,160.55,161.84,619.16
1778889600000,161.86,162.92,161.44,162.79,425.32
1778893200000,162.87,162.93,162.06,162.74,320.33
1778896800000,162.74,163.77,162.09,163.15,651.37
1778900400000,163.0,163.4,162.62,162.89,174.5
1778904000000,162.88,163.49,162.28,163.26,263.76
1778907600000,163.46,164.1,163.04,163.69,358.96
1778911200000,163.59,163.78,161.83,162.53,430.15
1778914800000,162.44,162.9,161.61,162.01,267.74
1778918400000,161.82,163.05,161.68,162.82,147.31
1778922000000,162.57,163.19,161.46,162.28,495.01
1778925600000,162.05,163.23,161.65,163.23,431.76
1778929200000,163.23,163.75,162.58,163.19,451.43
1778932800000,163.0,163.76,162.62,162.89,192.31
1778936400000,162.83,163.44,162.5,163.1,207.0
1778940000000,163.15,163.5,162.5,162.53,157.49
1778943600000,162.5,163.5,162.1,162.44,199.02
1778947200000,162.42,162.9,162.13,162.7,124.66
1778950800000,162.8,163.21,162.1,162.1,214.38
1778954400000,162.1,162.95,162.1,162.39,143.43
1778958000000,162.25,162.55,162.25,162.26,17.73
1778961600000,162.51,163.2,162.3,163.08,13.69
1778965200000,163.06,163.5,162.99,163.23,85.62
1778968800000,163.05,163.5,163.04,163.5,64.15
1778972400000,163.18,163.5,163.04,163.11,63.45
1778976000000,163.48,163.64,163.04,163.13,152.08
1778979600000,163.16,164.65,163.05,163.42,177.94
1778983200000,163.36,164.37,163.11,164.3,149.47
1778986800000,164.23,166.37,164.2,165.02,502.57
1778990400000,165.02,165.06,164.27,164.76,149.87
1778994000000,164.62,164.98,164.27,164.52,201.42
1778997600000,164.6,164.6,164.18,164.37,90.02
1779001200000,164.19,165.08,164.06,164.06,209.15
1779004800000,164.04,164.28,163.15,163.81,517.11
1779008400000,163.82,163.88,163.04,163.08,274.73
1779012000000,163.08,164.73,163.06,164.56,484.61
1779015600000,164.57,165.78,164.29,165.48,677.82
1779019200000,165.5,166.09,164.96,165.48,568.58
