ts,open,high,low,close,volume
1779336000000,206.0,210.0,197.1,203.09,23811.16
1779339600000,203.1,212.74,203.0,212.58,38640.62
1779343200000,212.58,224.47,212.5,217.93,54168.97
1779346800000,217.85,220.5,210.0,213.62,46935.55
1779350400000,213.62,215.48,205.0,211.91,37079.93
1779354000000,211.91,215.07,210.57,211.82,14973.98
1779357600000,211.81,212.5,206.94,208.92,20011.42
1779361200000,208.94,213.6,208.02,212.0,16571.15
1779364800000,212.01,213.48,210.17,211.05,12662.28
1779368400000,211.02,213.2,207.92,209.23,24230.43
1779372000000,209.27,211.9,208.03,211.44,11213.76
1779375600000,211.47,211.48,208.2,209.28,10048.31
1779379200000,209.21,210.16,207.3,208.55,11053.65
1779382800000,208.55,210.6,208.41,210.6,5700.11
1779386400000,210.59,211.1,208.65,208.98,6883.65
1779390000000,208.96,209.88,203.0,207.01,17159.65
1779393600000,207.01,210.1,204.05,204.88,7684.87
1779397200000,204.83,205.82,204.72,205.74,2636.55
1779400800000,205.71,209.22,205.05,207.65,6315.09
1779404400000,207.59,209.84,204.0,207.76,14434.51
1779408000000,207.76,210.0,206.78,208.36,9421.86
1779411600000,208.36,209.02,206.0,208.02,8507.58
1779415200000,208.02,209.49,207.0,209.26,7660.13
1779418800000,209.28,210.0,207.0,209.1,8713.86
1779422400000,209.11,212.46,208.25,210.12,13011.71
1779426000000,210.11,212.7,209.85,210.23,17945.92
1779429600000,210.25,210.34,207.0,209.59,26294.33
1779433200000,209.6,209.73,208.0,208.53,12984.87
1779436800000,208.53,210.3,208.3,208.39,12107.84
1779440400000,208.36,209.2,206.87,207.23,12557.38
1779444000000,207.21,208.2,205.56,205.89,13758.04
1779447600000,205.9,208.0,205.56,207.99,8252.5
1779451200000,207.99,208.3,206.76,207.93,6542.42
1779454800000,207.95,208.07,204.4,205.14,18959.32
1779458400000,205.16,205.48,202.02,203.62,28061.73
1779462000000,203.54,203.76,200.0,201.21,28259.23
1779465600000,201.21,203.79,199.07,202.38,22549.23
1779469200000,202.38,202.79,190.0,197.88,50060.25
1779472800000,197.88,198.22,194.61,195.93,14610.6
1779476400000,195.98,197.34,193.0,196.97,14813.57
1779480000000,196.97,199.6,196.6,198.68,8745.44
1779483600000,198.76,200.29,197.8,199.87,5461.33
1779487200000,199.81,200.69,197.53,199.21,10378.64
1779490800000,199.21,199.84,195.01,196.01,10319.5
1779494400000,196.02,196.94,194.6,196.56,9096.51
1779498000000,196.56,199.72,195.98,198.44,11342.74
1779501600000,198.4,200.47,198.23,199.73,7376.32
1779505200000,199.74,199.91,197.01,197.42,6564.14
1779508800000,197.42,198.4,195.56,197.64,8385.61
1779512400000,197.65,199.39,197.01,198.37,6945.44
1779516000000,198.34,200.4,197.52,199.16,9816.02
1779519600000,199.22,200.85,197.74,198.21,11708.61
1779523200000,198.23,200.16,197.79,199.43,6770.19
1779526800000,199.45,200.5,196.06,199.03,12244.51
1779530400000,199.0,199.81,198.5,199.05,4557.8
1779534000000,199.12,199.88,197.0,199.59,8616.1
1779537600000,199.59,200.42,198.74,199.31,7202.82
1779541200000,199.31,202.6,199.13,201.34,14521.33
1779544800000,201.31,202.45,200.0,201.8,13345.48
1779548400000,201.82,202.48,200.69,202.19,9283.99
1779552000000,202.2,202.36,200.5,201.34,5495.53
1779555600000,201.33,202.66,200.61,201.9,4549.92
