ts,open,high,low,close,volume
1721415600000,29.68,29.88,29.52,29.78,40390.405
1721419200000,29.78,29.83,29.58,29.61,35810.804
1721422800000,29.62,29.69,29.45,29.49,20708.105
1721426400000,29.49,29.59,29.43,29.51,19392.618
1721430000000,29.5,29.66,29.45,29.5,31483.538
1721433600000,29.5,29.59,29.34,29.39,42982.237
1721437200000,29.39,29.71,29.39,29.51,28707.141
1721440800000,29.52,29.64,29.38,29.41,23254.595
1721444400000,29.41,29.5,29.27,29.32,25034.955
1721448000000,29.31,29.62,29.27,29.56,32790.166
1721451600000,29.53,29.69,29.37,29.49,44319.386
1721455200000,29.49,29.95,29.38,29.76,48669.375
1721458800000,29.76,29.82,29.51,29.63,38320.144
1721462400000,29.64,29.95,29.41,29.44,52209.334
1721466000000,29.43,29.5,29.2,29.38,47670.624
1721469600000,29.38,29.49,29.25,29.28,29224.283
1721473200000,29.27,29.3,28.9,28.94,37101.07
1721476800000,28.94,29.09,28.78,28.88,51195.516
1721480400000,28.89,29.33,28.79,29.26,59498.478
1721484000000,29.26,29.57,29.21,29.29,47860.181
1721487600000,29.29,29.44,29.06,29.25,33208.707
1721491200000,29.24,29.3,28.89,28.95,34795.56
1721494800000,28.94,29.18,28.79,29.14,37702.022
1721498400000,29.15,29.17,28.99,29.02,21153.145
1721502000000,29.02,29.11,28.85,28.89,22717.593
1721505600000,28.9,29.25,28.88,29.05,29131.271
1721509200000,29.05,29.17,28.9,29.1,26354.407
1721512800000,29.1,29.45,29.08,29.4,32197.074
1721516400000,29.4,29.73,29.35,29.62,37622.503
1721520000000,29.62,29.75,29.47,29.5,27395.434
1721523600000,29.49,30.0,29.41,29.97,35268.677
1721527200000,29.98,30.69,29.96,30.65,65769.714
1721530800000,30.64,31.1,29.82,29.88,95589.936
1721534400000,29.86,30.13,29.52,29.55,47695.996
1721538000000,29.55,29.76,29.34,29.69,44042.806
1721541600000,29.67,29.75,29.46,29.57,30018.066
1721545200000,29.57,29.76,29.37,29.63,35566.698
1721548800000,29.64,29.84,29.62,29.82,21080.032
1721552400000,29.82,30.79,29.79,30.54,62015.026
1721556000000,30.55,31.44,30.1,31.07,150993.075
1721559600000,31.08,31.9,31.05,31.78,207124.933
1721563200000,31.79,31.95,31.27,31.84,187464.878
1721566800000,31.85,31.95,31.16,31.32,139625.375
1721570400000,31.32,32.38,31.17,32.35,195747.656
1721574000000,32.33,32.48,31.73,32.01,165984.448
1721577600000,32.01,32.65,31.69,32.29,182552.947
1721581200000,32.29,32.49,31.65,31.97,115377.813
1721584800000,31.98,32.3,31.19,31.76,174063.929
1721588400000,31.77,32.11,31.62,31.82,75850.631
