ts,open,high,low,close,volume
1776668400000,84.47,85.76,84.44,84.73,172846.754
1776672000000,84.74,85.14,84.57,84.69,84844.806
1776675600000,84.68,85.26,84.64,85.08,68420.163
1776679200000,85.08,85.4,84.82,84.86,71989.163
1776682800000,84.85,85.37,84.78,85.07,79807.506
1776686400000,85.06,85.54,84.85,85.32,94827.027
1776690000000,85.32,85.54,84.87,85.31,126381.106
1776693600000,85.31,85.81,84.54,84.8,211847.287
1776697200000,84.8,85.88,84.42,85.86,191197.267
1776700800000,85.86,85.88,85.26,85.31,71216.643
1776704400000,85.31,86.12,85.25,85.69,78669.488
1776708000000,85.7,86.22,85.7,86.07,170230.155
1776711600000,86.07,86.11,85.77,85.8,54551.552
1776715200000,85.8,86.17,85.66,85.95,84584.866
1776718800000,85.95,86.21,85.58,85.79,58847.703
1776722400000,85.8,86.07,85.6,85.7,46906.985
1776726000000,85.71,85.71,85.21,85.28,91326.863
1776729600000,85.29,85.77,85.22,85.66,60105.1
1776733200000,85.66,85.83,85.35,85.43,34346.207
1776736800000,85.44,85.46,85.17,85.27,53373.23
1776740400000,85.26,85.55,85.0,85.17,108159.268
1776744000000,85.17,85.47,85.02,85.44,69685.661
1776747600000,85.43,85.83,85.41,85.67,100744.595
1776751200000,85.68,85.95,85.19,85.67,82830.908
1776754800000,85.68,85.98,85.41,85.71,65624.687
1776758400000,85.71,86.38,85.63,85.81,91833.757
1776762000000,85.8,85.91,85.52,85.89,48774.102
1776765600000,85.89,86.32,85.84,86.16,55031.485
1776769200000,86.16,86.17,85.72,85.85,61157.727
1776772800000,85.85,86.04,85.17,85.52,100889.045
1776776400000,85.51,85.85,85.3,85.81,74144.263
1776780000000,85.82,86.89,85.61,85.76,173602.333
1776783600000,85.77,86.28,85.4,86.05,100946.108
1776787200000,86.05,86.3,85.66,85.69,98335.232
1776790800000,85.7,85.8,84.73,85.31,152884.363
1776794400000,85.32,85.39,84.73,85.25,89556.45
1776798000000,85.24,85.72,84.31,84.57,100723.14
1776801600000,84.57,85.75,84.43,85.42,177588.999
1776805200000,85.42,85.59,85.01,85.16,57815.667
1776808800000,85.15,85.45,84.99,85.36,60127.15
1776812400000,85.35,86.13,85.34,86.03,93307.792
1776816000000,86.04,86.51,86.01,86.48,127542.216
1776819600000,86.49,86.53,86.09,86.27,72415.9
1776823200000,86.27,87.57,86.2,87.42,253231.316
1776826800000,87.42,87.87,87.12,87.24,131610.959
1776830400000,87.25,87.33,86.97,87.08,58817.761
1776834000000,87.08,88.33,87.01,88.02,276098.053
1776837600000,88.02,88.19,87.79,87.96,142534.286
1776841200000,87.96,88.27,87.7,88.05,138120.081
1776844800000,88.06,88.29,87.6,88.01,129429.894
1776848400000,88.0,88.88,87.83,88.3,167123.192
1776852000000,88.3,88.43,88.13,88.33,59553.373
1776855600000,88.34,88.5,88.16,88.31,52236.225
1776859200000,88.31,88.67,88.22,88.58,128408.464
1776862800000,88.58,89.18,88.44,89.1,226273.151
1776866400000,89.1,89.32,88.47,88.75,254829.985
1776870000000,88.74,88.81,87.99,88.18,220060.944
1776873600000,88.19,88.46,87.53,87.65,177009.728
1776877200000,87.65,88.02,87.63,87.83,102242.707
1776880800000,87.83,88.37,87.8,87.81,78895.429
1776884400000,87.82,87.83,87.09,87.37,142486.93
1776888000000,87.38,87.49,87.09,87.14,51156.841
1776891600000,87.14,87.67,87.12,87.6,38391.914
1776895200000,87.59,87.72,87.3,87.43,42600.277
1776898800000,87.43,87.47,86.81,86.87,83802.209
1776902400000,86.86,87.18,85.97,86.86,172699.667
1776906000000,86.87,86.87,86.12,86.44,91214.741
1776909600000,86.43,86.44,85.73,85.95,106182.202
1776913200000,85.94,86.09,85.48,85.79,73218.061
1776916800000,85.78,86.0,85.65,85.96,64355.955
1776920400000,85.96,86.13,85.51,85.87,98369.178
1776924000000,85.87,86.23,85.84,86.18,74788.939
1776927600000,86.19,86.24,85.86,85.9,70942.293
1776931200000,85.91,85.94,85.54,85.69,95461.864
1776934800000,85.68,85.69,85.25,85.51,75732.373
1776938400000,85.51,85.6,85.2,85.41,73948.867
1776942000000,85.42,85.9,85.36,85.81,84102.281
1776945600000,85.82,86.1,85.69,85.97,80870.776
1776949200000,85.97,86.04,85.57,85.77,122926.006
1776952800000,85.76,86.19,85.55,86.06,115785.777
1776956400000,86.05,86.66,85.81,86.35,268215.498
1776960000000,86.36,86.42,85.78,85.81,162577.292
1776963600000,85.82,85.88,84.48,85.34,382435.06
1776967200000,85.35,85.68,85.23,85.26,158433.075
1776970800000,85.26,85.58,85.15,85.3,188600.339
1776974400000,85.3,85.85,85.29,85.61,106937.598
1776978000000,85.61,86.01,85.52,85.79,63174.881
1776981600000,85.8,86.25,85.8,85.97,100121.322
1776985200000,85.96,86.2,85.58,86.12,63569.194
1776988800000,86.12,86.36,86.04,86.19,58919.73
1776992400000,86.19,86.32,85.82,86.28,43107.554
1776996000000,86.28,86.36,85.78,85.89,30027.976
1776999600000,85.89,85.94,85.4,85.69,92613.027
1777003200000,85.69,85.71,85.14,85.32,53578.907
1777006800000,85.31,85.82,85.15,85.7,102036.139
1777010400000,85.7,85.73,85.33,85.44,43334.762
1777014000000,85.44,85.62,85.34,85.51,88411.579
1777017600000,85.5,85.73,85.29,85.34,84858.035
1777021200000,85.35,85.48,84.92,85.48,91687.327
1777024800000,85.47,85.76,85.18,85.71,71177.265
1777028400000,85.72,86.28,85.71,86.19,153894.168
1777032000000,86.2,86.79,86.06,86.33,163867.002
1777035600000,86.34,86.6,85.86,86.09,109644.856
1777039200000,86.08,86.23,85.67,86.05,89286.631
1777042800000,86.05,86.56,85.53,86.52,106778.777
1777046400000,86.52,86.58,86.09,86.35,74474.282
1777050000000,86.34,86.56,86.12,86.49,55769.856
1777053600000,86.49,86.54,85.95,86.36,36132.27
1777057200000,86.37,86.53,86.25,86.33,43896.721
1777060800000,86.32,86.9,86.22,86.85,104016.015
1777064400000,86.85,86.94,86.36,86.46,54955.947
